Resultados,Alfredo,Julio,Luz,MaFer,Rafa,
9.952851,11.945237,9.958410,9.931108,9.931317,9.928577,
9.965665,10.026127,9.947629,9.922407,9.937954,9.936501,
9.902399,9.938243,9.944079,9.925576,9.925934,9.930101,
9.931272,9.941262,9.940047,9.931191,9.934902,9.930770,
9.949238,9.936801,9.947977,9.924325,9.936683,9.937711,
9.946318,9.931675,9.938673,9.926756,9.930453,9.930384,
9.953727,9.943095,9.942921,9.932659,9.932888,9.933380,
9.942910,9.942752,9.947666,9.924814,9.939835,9.937362,
9.943225,9.932544,9.940399,9.928528,9.924587,9.930826,
9.955381,9.945245,9.943444,9.933365,9.934620,9.933611,
9.946065,9.938670,9.948479,9.926002,9.941291,9.938752,
9.948143,9.936274,9.940760,9.928961,9.928789,9.931413,
9.959913,9.950646,9.945268,9.935279,9.935007,9.934478,
9.948681,9.941355,9.946117,9.923337,9.939745,9.938690,
9.942531,9.939182,9.941925,9.931046,9.931020,9.932695,
9.952158,9.938270,9.944871,9.932399,9.936316,9.934286,
10.057763,9.940394,9.949996,9.925960,9.937284,9.938907,
9.844186,9.937861,9.942168,9.930459,9.930536,9.932035,
9.952730,9.941569,9.947088,9.933721,9.936565,9.935858,
9.948493,9.941298,9.950773,9.923557,9.939343,9.939332,
9.942250,9.934527,9.944752,9.931626,9.933475,9.933171,
9.948074,9.948505,9.946234,9.933316,9.934593,9.936808,
9.949189,9.937089,9.951774,9.927307,9.940752,9.940866,
9.942936,9.940299,9.946986,9.931882,9.927513,9.933798,
9.951138,9.951767,9.945979,9.934487,9.936910,9.934618,
9.951136,9.935505,9.956673,9.927421,9.940305,9.941623,
9.945517,9.936687,9.940914,9.933455,9.931038,9.933121,
9.925378,9.950483,9.947624,9.934907,9.938460,9.938566,
9.946239,9.936235,9.951578,9.927965,9.936633,9.941282,
9.950488,9.952442,9.944080,9.935569,9.931590,9.933714,
9.952134,9.946178,9.954365,9.935375,9.939372,9.937916,
9.953351,10.021325,9.948186,9.928148,9.937975,9.943408,
9.954878,9.937016,9.948600,9.935916,9.931214,9.935352,
9.965124,9.949420,9.950648,9.936010,9.936988,9.940502,
9.948698,9.948602,9.951695,9.929677,9.937271,9.943699,
9.943915,9.955985,9.945914,9.933049,9.929923,9.935339,
9.944975,9.939741,9.950116,9.940298,9.938031,9.942124,
9.932130,9.966979,9.953507,9.932236,9.936609,9.944711,
9.958517,9.931452,9.946260,9.937804,9.931189,9.936977,
9.969435,9.949443,9.949980,9.938383,9.937125,9.942367,
